!josh,ily joshy woshy
!icetrae,https://cdn.discordapp.com/attachments/438820325237456896/601070407445119006/txykwus1dqa31.png
!chew,Chewing Clock Rules The chewing clock rules are as follows: - You must chew clock if you have a 33+ point lead at any point in the game. - You must chew clock if you have a 25+ point lead at any point in the 2nd half. - You may chew clock up 10+ points in the 4th quarter with 4 minutes or less of gameplay. Any person chewing clock outside of these parameters will be subject to punishment.
